
TELEPOWEG8  |  Moto G8 Power | 1 | 752000 | 1/1/2020 | 30/6/2020 | 7000 
TELEPOWEG8  |  Moto G8 Power | 1 | 752000 | 1/1/2020 | 30/6/2020 | 7000 
TELEPLUSG8  |  Moto G8 Plus | 1 | 650000 | 1/1/2020 | 30/6/2020 | 6500 
TELEPOWEG8  |  Moto G8 Power | 1 | 752000 | 1/1/2020 | 30/6/2020 | 7000 
TELEPLUSG8  |  Moto G8 Plus | 1 | 650000 | 1/1/2020 | 30/6/2020 | 6500 
TELEPLUSG7  |  Moto G7 Plus | 2 | 550000 | 1/1/2020 | 30/6/2020 | 4000 
TELEPOWEG8  |  Moto G8 Power | 1 | 752000 | 1/1/2020 | 30/6/2020 | 7000 
TELEPLUSG8  |  Moto G8 Plus | 1 | 650000 | 1/1/2020 | 30/6/2020 | 6500 
TELEPLUSG7  |  Moto G7 Plus | 2 | 550000 | 1/1/2020 | 30/6/2020 | 4000 
TELEPLUSG6  |  Moto G6 Plus | 2 | 450000 | 1/1/2020 | 30/6/2020 | 3000 
TELEPOWEG8  |  Moto G8 Power | 1 | 752000 | 1/1/2020 | 30/6/2020 | 7000 
TELEPLUSG8  |  Moto G8 Plus | 1 | 650000 | 1/1/2020 | 30/6/2020 | 6500 
TELEPLUSG7  |  Moto G7 Plus | 2 | 550000 | 1/1/2020 | 30/6/2020 | 4000 
TELEPLUSG6  |  Moto G6 Plus | 2 | 450000 | 1/1/2020 | 30/6/2020 | 3000 
TELEPLUSG5  |  Moto G5 Plus | 3 | 350000 | 1/1/2020 | 30/6/2020 | 1500 
TELEPOWEG8  |  Moto G8 Power | 1 | 752000 | 1/1/2020 | 30/6/2020 | 7000 
TELEPLUSG8  |  Moto G8 Plus | 1 | 650000 | 1/1/2020 | 30/6/2020 | 6500 
TELEPLUSG7  |  Moto G7 Plus | 2 | 550000 | 1/1/2020 | 30/6/2020 | 4000 
TELEPLUSG6  |  Moto G6 Plus | 2 | 450000 | 1/1/2020 | 30/6/2020 | 3000 
TELEPLUSG5  |  Moto G5 Plus | 3 | 350000 | 1/1/2020 | 30/6/2020 | 1500 
TELEPLUSG4  |  Moto G4 Plus | 3 | 150000 | 1/1/2020 | 30/6/2020 | 1000 
TELEPOWEG8  |  Moto G8 Power | 1 | 752000 | 1/1/2020 | 30/6/2020 | 7000 
TELEPLUSG8  |  Moto G8 Plus | 1 | 650000 | 1/1/2020 | 30/6/2020 | 6500 
TELEPLUSG7  |  Moto G7 Plus | 2 | 550000 | 1/1/2020 | 30/6/2020 | 4000 
TELEPLUSG6  |  Moto G6 Plus | 2 | 450000 | 1/1/2020 | 30/6/2020 | 3000 
TELEPLUSG5  |  Moto G5 Plus | 3 | 350000 | 1/1/2020 | 30/6/2020 | 1500 
TELEPLUSG4  |  Moto G4 Plus | 3 | 150000 | 1/1/2020 | 30/6/2020 | 1000 
